,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
duration,125972.0,0.0,36172473.0,287.14692947639156,0.0,2604.5255219507903,6783553.194493038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9590.579999999987,42908.0
src_bytes,125972.0,0.0,5740178825.0,45567.10082399263,44.0,5870354.480801287,34461061730263.754,0.0,0.0,0.0,0.0,0.0,44.0,276.0,848.0,1480.0,54540.0,1379963888.0
dst_bytes,125972.0,0.0,2491634381.0,19779.27143333439,0.0,4021285.11211447,16170733952913.484,0.0,0.0,0.0,0.0,0.0,0.0,516.0,3375.9000000000087,8314.0,25519.0,1309937401.0
land,125972.0,0.0,25.0,0.00019845679992379258,0.0,0.014086127570282329,0.00019841898992626792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wrong_fragment,125972.0,0.0,2858.0,0.02268758136728797,0.0,0.253530984194737,0.06427795994675199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
urgent,125972.0,0.0,14.0,0.00011113580795732385,0.0,0.014366083637794687,0.00020638435908811224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hot,125972.0,0.0,25750.0,0.20441050392150636,0.0,2.1499768901346337,4.62240062811299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0
num_failed_logins,125972.0,0.0,154.0,0.0012224938875305623,0.0,0.04523931841157261,0.002046595930343653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
logged_in,125972.0,0.0,49852.0,0.3957387355920363,0.0,0.48901072282194363,0.23913148703483977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
num_compromised,125972.0,0.0,35178.0,0.279252532308767,0.0,23.942137259654753,573.2259365601484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7479.0
